Name,Description,Script
mqorbitalcaster_fixpositions,Internal script for Orbital Caster episode,function ceil(n) {var round = n - (n % 1); return round + (round == n ? 0 : 1);} function around(number1[;] number2[;] error) return number1 >= number2 - error && number1 <= number2 + error; var fadeInAnimation = self.getvar(~mqorbitalcaster_fadeinanimation~) == 0; self.setvar(~mqorbitalcaster_fadeinanimation~[;] 1); var enterAnimation = self.getvar(~mqorbitalcaster_enteranimation~) == 0; self.setvar(~mqorbitalcaster_enteranimation~[;] 1); var free_indexes = [1[;] 2[;] 3[;] 4[;] 5[;] 6]; var matching_indexes = [[][;] [][;] [][;] [][;] [][;] [][;] []]; var totalItems = 6; if (self.equipment.length > 0) {for (eq in self.equipment) if (eq.skillcard == ~~ && eq.getvar(~mqorbitalcaster_index~) != 0) {free_indexes.remove(eq.getvar(~mqorbitalcaster_index~)); matching_indexes[eq.getvar(~mqorbitalcaster_index~)].push(eq);} for (matching_index in 1...7) if (matching_indexes[matching_index].length >= 2) {free_indexes.push(matching_index); for (eq in matching_indexes[matching_index]) eq.setvar(~mqorbitalcaster_index~[;] 0);} for (eq in self.equipment) if (eq.skillcard == ~~ && eq.getvar(~mqorbitalcaster_index~) == 0) eq.setvar(~mqorbitalcaster_index~[;] free_indexes.shift());} if (self.equipment.length > 0) for (eq in self.equipment) if (eq.skillcard == ~~) {var angle = ceil((210 + 360 / totalItems * (eq.getvar(~mqorbitalcaster_index~) + self.getvar(~mqorbitalcaster_step~))) % 360); if (angle < 0) angle += 360; eq.setvar(~mqorbitalcaster_angle~[;] angle); if (eq.ready) {if (enterAnimation) {eq.x = 3840 / 2 - eq.width / 2 + 850 * 1.25 * self.getvar(~cos~ + (angle - 90)); eq.y = 2160 / 2 - eq.height / 2 + 650 * 1.25 * self.getvar(~sin~ + (angle - 90));} if (fadeInAnimation) {eq.equipalpha = 0; var actFadeIn = new motion.actuators.SimpleActuator(eq[;] 0.75[;] {equipalpha: 1}); actFadeIn.move();} eq.finalpos = new openfl.geom.Point(3840 / 2 - eq.width / 2 + 850 * self.getvar(~cos~ + angle)[;] 2160 / 2 - eq.height / 2 + 650 * self.getvar(~sin~ + angle));} var positions = [{name: ~top~[;] angles: [270]}[;] {name: ~bottom~[;] angles: [90]}[;] {name: ~topleft~[;] angles: [210]}[;] {name: ~topright~[;] angles: [330]}[;] {name: ~bottomleft~[;] angles: [150]}[;] {name: ~bottomright~[;] angles: [30]}]; for (position in positions) {var inPosition = 0; for (angle2 in position.angles) if (around(angle[;] angle2[;] 5)) inPosition = 1; eq.setvar(~mqorbitalcaster_position_~ + position.name[;] inPosition);}} var skillcard = null; for (eq in self.equipment) if (eq.skillcard == ~mqorbitalcaster~) skillcard = eq; if (skillcard != null && skillcard.ready) {skillcard.finalpos = new openfl.geom.Point(3840 / 2 - skillcard.width / 2[;] 2160 / 2 - skillcard.height / 2);} new elements.Skill(~mqfixeqpositions~).execute(self[;] target);
mqorbitalcaster_spin,Internal script for Orbital Caster episode,var spins = 0; if (getstatusself(~mqorbitalcaster_nostep~) <= 0 && getstatusself(~mqorbitalcaster_nostep_all~) <= 0) {self.setvar(~mqorbitalcaster_step~[;] self.getvar(~mqorbitalcaster_step~) + 1 * (getstatusself(~mqorbitalcaster_reverse~) <= 0 && getstatusself(~mqorbitalcaster_reverse_all~) <= 0 ? 1 : -1) * (getstatusself(~mqorbitalcaster_extrastep~) <= 0 && getstatusself(~mqorbitalcaster_extrastep_all~) <= 0 ? 1 : 2)); self.setvar(~mqorbitalcaster_spinshappened~[;] getstatusself(~mqorbitalcaster_extrastep~) <= 0 && getstatusself(~mqorbitalcaster_extrastep_all~) <= 0 ? 1 : 2); removestatusself(~mqorbitalcaster_extrastep~); removestatusself(~mqorbitalcaster_reverse~);} removestatusself(~mqorbitalcaster_nostep~); new elements.Skill(~mqorbitalcaster_fixpositions~).execute(self[;] target); new elements.Skill(~mqorbitalcaster_step_scripts~).execute(self[;] target);
mqorbitalcaster_step_scripts,Internal script for Orbital Caster episode,var spins = self.getvar(~mqorbitalcaster_spinshappened~); self.setvar(~mqorbitalcaster_spinshappened~[;] 0); if (self.equipment.length > 0) for (eq in self.equipment) if (eq.skillcard == ~~) {var script_on_step = ~~; if (eq.scriptbeforeexecute.indexOf(~/*mqorbitalcaster_on_step:~) != -1) script_on_step = eq.scriptbeforeexecute.split(~/*mqorbitalcaster_on_step:~)[1].substr(0[;] eq.scriptbeforeexecute.split(~/*mqorbitalcaster_on_step:~)[1].indexOf(~*/~)); var skill = new elements.Skill(~Unlimited~); self.setvar(~mqorbitalcaster_e~[;] eq); skill.script = ~var e = self.getvar(\~mqorbitalcaster_e\~); var spins = ~ + spins + ~; ~ + script_on_step; if (eq.ready) skill.execute(self[;] target); self.setvar(~mqorbitalcaster_e~[;] 0);}
One More Spin,Get an extra spin for this turn,self.setvar(~mqorbitalcaster_rotations~[;] self.getvar(~mqorbitalcaster_rotations~) + 1); sfx(~_recycle~);
Two More Spins,Get two extra spins for this turn,self.setvar(~mqorbitalcaster_rotations~[;] self.getvar(~mqorbitalcaster_rotations~) + 2); sfx(~_recycle~);
mqsnapeq,Internal script for activating equipment for free,function min(n1[;] n2) return n1 < n2 ? n1 : n2; var e = self.getvar(~mqsnapeq~); e.shockedsetting = 0; e.positionshockslots(); var slotsFilled = false; if (e.countdown > 0 && e.slots.indexOf(~COUNTDOWN~) == 0) {e.remainingcountdown = 6; givedice(6); e.assigndice(self.dicepool[self.dicepool.length - 1]);} var newdice = []; var total = e.needstotal > 0 ? e.needstotal : 9999; if (e.slots.length > 0) for (slot in e.slots) {var d = 0; switch (slot) {case ~NORMAL~: d = 6; case ~MIN2~: d = 6; case ~MIN3~: d = 6; case ~MIN4~: d = 6; case ~MIN5~: d = 6; case ~MIN6~: d = 6; case ~MAX6~: d = 6; case ~REQUIRE6~: d = 6; case ~EVEN~: d = 6; case ~DOUBLES~: d = 6; case ~MAX5~: d = 5; case ~ODD~: d = 5; case ~REQUIRE5~: d = 5; case ~RANGE25~: d = 5; case ~RANGE35~: d = 5; case ~RANGE45~: d = 5; case ~MAX4~: d = 4; case ~REQUIRE4~: d = 4; case ~RANGE24~: d = 4; case ~RANGE34~: d = 4; case ~MAX3~: d = 3; case ~REQUIRE3~: d = 3; case ~RANGE23~: d = 3; case ~MAX2~: d = 2; case ~REQUIRE2~: d = 2; case ~MAX1~: d = 1; case ~REQUIRE1~: d = 1;} d = min(d[;] total); total -= d; newdice.push(d);} var c = 0; if (newdice.length > 0) {slotsFilled = true; for (d in newdice) {if (d != 0) {givedice([d]); e.assigndice(self.dicepool[self.dicepool.length - 1][;] c);} c++;}} if (slotsFilled && e.countdown <= 0) e.doequipmentaction(self[;] target[;] (self.isplayer ? 1 : -1)[;] e.assigneddice[;] self.getvar(~mqsnapeq_delay~)); e.animate(~flashandshake~); e.animate(~~); var anim = e.animation[e.animation.length - 1]; anim.addcommand(~textparticle~[;] ~Snap!~[;] 16777215);
Jump In,Snap random item,var possibleEquipment = []; for (eq in self.equipment) if (eq.ready && eq.availablethisturn && eq.skillcard == ~~ && eq.slots.length > 0) possibleEquipment.push(eq); if (possibleEquipment.length > 0) {self.setvar(~mqsnapeq~[;] rand(possibleEquipment)); new elements.Skill(~mqsnapeq~).execute(self[;] target); self.setvar(~mqsnapeq~[;] 0);} sfx(~jester_snap~);
mqcustomscript,Internal script for loading custom scripts,var Rules = self.getvar(~Rules~); var scriptData = self.getvar(~mqcustomscript~); var passVariables = scriptData.variables != null && scriptData.variables.length > 0; var loadOnce = scriptData.loadOnce != null && scriptData.loadOnce; var script = ~~; if (!loadOnce # self.getvar(~mqcustomscript_~ + scriptData.file).length == null) {Rules.rulescreen(scriptData.file); script = Rules.rulescreen_text.join(~ ~); self.setvar(~mqcustomscript_~ + scriptData.file[;] script);} else {script = self.getvar(~mqcustomscript_~ + scriptData.file);} if (passVariables) for (variable in scriptData.variables) {self.setvar(~mqcustomscript_variable_~ + variable.name[;] variable.value); script = ~var ~ + variable.name + ~ = self.getvar(\~mqcustomscript_variable_~ + variable.name + ~\~); ~ + script;} var skill = new elements.Skill(~Unlimited~); skill.script = script; skill.execute(self[;] target); Rules.overworldbutton_action = ~~; Rules.rulescreen_text = []; self.setvar(~Rules~[;] 0); self.setvar(~mqcustomscript~[;] 0); if (passVariables) for (variable in scriptData.variables) self.setvar(~mqcustomscript_variable_~ + variable.name[;] 0);
mqloadcsv,Internal script for loading custom CSV files,var Rules = self.getvar(~Rules~); Rules.rulescreen(self.getvar(~mqloadcsv~)); var csvData = Rules.rulescreen_text; var processedData = []; if (csvData.length > 0) {var headers = csvData[0].split(~[;]~); if (headers.length > 0) {for (header in headers) processedData.push({header: header[;] data: []}); var headerLine = csvData.shift(); for (c in 0...headers.length) for (csvLine in csvData) if (csvLine.length > 0 && csvLine != headerLine) {csvLine = csvLine.split(~[;]~); processedData[c].data.push(csvLine[c]);}}} for (processedDataPart in processedData) self.setvar(~mqloadcsv_~ + self.getvar(~mqloadcsv~) + ~_~ + processedDataPart.header[;] processedDataPart.data); self.setvar(~Rules~[;] 0); self.setvar(~mqloadcsv~[;] 0);
mqsilence,Internal script for inflicting Silence status effect (adds support for enemy; Robot and Jester silence),if (!target.isplayer) inflict(~mqenemysilence~); else {if (target.name != ~Robot~ && target.name != ~Jester~) inflict(SILENCE); else if (target.name == ~Robot~) inflict(~mqrobotsilence~); else if (target.name == ~Jester~) inflict(~mqjestersilence~);} if (target.scriptbeforestartturn.indexOf(~/*mqsilence_script_injected*/~) == -1) {target.scriptbeforestartturn += ~ /*mqsilence_script_injected*/ if (getstatusself(\~mqrobotsilence\~) > 0) {self.roll_error = 1;}~; target.scriptonstartturn += ~ if (getstatusself(\~mqenemysilence\~) > 0) {var skillcard = null; if (self.equipment.length > 0) {for (eq in self.equipment) if (skillcard == null # (eq.x >= skillcard.x && eq.skillcard == \~\~)) skillcard = eq; for (eq in self.equipment) if (skillcard == null # (eq.x >= skillcard.x && eq.y >= skillcard.y && eq.skillcard == \~\~)) skillcard = eq;} if (skillcard != null) {skillcard.shockedsetting = 1; skillcard.shockedtext = \~Reduce countdown to 0\~ + \~#\~.substr(0[;] 1) + \~to break silence\~; skillcard.shockedtype = skillcard.shockedtype.COUNTDOWN; skillcard.positionshockslots(); skillcard.shocked_countdown = 6; skillcard.shocked_remainingcountdown = skillcard.shocked_countdown; skillcard.flashtime = 0.1; sfx(\~apply_silence_to_equipment\~);}} if (getstatusself(\~mqrobotsilence\~) > 0) {removestatusself(\~mqrobotsilence\~[;] ALL); self.addstatus(SILENCE[;] 1); self.roll_error = 0; var newdice = []; var total = self.roll_target - 1; for (i in 0...2) {var d = rand([1[;] 2[;] 3[;] 4[;] 5[;] 6]); if (d > total) d = total; total -= d; newdice.push(d);} self.roll_total += self.roll_target - 1 - total; self.roll_barposition = self.roll_total * 100; givedice(newdice);} if (getstatusself(\~mqjestersilence\~) > 0) {removestatusself(\~mqjestersilence\~[;] ALL); self.layout = self.layout.EQUIPMENT; self.setvar(\~mqjestersilence_layout_changed\~[;] 1); var unsilenceEq = new elements.Equipment(\~@mqjestersilence\~); unsilenceEq.equippedby = self; unsilenceEq.x = 2898; unsilenceEq.y = 621; unsilenceEq.flashtime = 0.1; unsilenceEq.skillcard = \~mqjestersilence\~; self.addstatus(SILENCE[;] 1); var actUnsilenceEq = new motion.actuators.SimpleActuator(null[;] 0[;] null); var funcUnsilenceEq = new hscript.Parser().parseString(\~if (getstatusself(\\\~mqtimeruntilendturn\\\~) <= 0) actUnsilenceEq._repeat = 0; if (e.ready && self.equipment.indexOf(e) == -1) self.equipment.push(e); if (e.shockedsetting == 2 && e.getvar(\\\~mqjestersilence_shocked\\\~) != 1) e.setvar(\\\~mqjestersilence_shocked\\\~[;] 1); if (e.getvar(\\\~mqjestersilence_shocked\\\~) == 1 && e.shockedsetting == 0 && e.unshockingtimer <= 0) {self.equipment.remove(e); removestatusself(SILENCE[;] ALL); self.layout = self.layout.DECK; self.setvar(\\\~mqjestersilence_layout_changed\\\~[;] 0); actUnsilenceEq._repeat = 0;} if (self.equipment.length > 0) for (eq in self.equipment) if (eq.cursedimage == 1 && eq.getvar(\\\~mqjestersilence_curse_advance\\\~) != 1) {eq.setvar(\\\~mqjestersilence_curse_advance\\\~[;] 1); Deck.advance();}\~); actUnsilenceEq.repeat(-1); var interp = new hscript.Interp(); interp.variables.set(\~self\~[;] self); interp.variables.set(\~e\~[;] unsilenceEq); interp.variables.set(\~actUnsilenceEq\~[;] actUnsilenceEq); interp.variables.set(\~getstatusself\~[;] getstatusself); interp.variables.set(\~removestatusself\~[;] removestatusself); interp.variables.set(\~SILENCE\~[;] SILENCE); interp.variables.set(\~ALL\~[;] ALL); interp.variables.set(\~Deck\~[;] Deck); actUnsilenceEq.onRepeat(interp.execute[;] [funcUnsilenceEq]); actUnsilenceEq.move(); inflictself(\~mqtimeruntilendturn\~);}~; target.scriptendturn += ~ if (self.getvar(\~mqjestersilence_layout_changed\~) == 1) {self.setvar(\~mqjestersilence_layout_changed\~[;] 0); self.layout = self.layout.DECK;}~; target.scriptaftercombat += ~ if (self.getvar(\~mqjestersilence_layout_changed\~) == 1) {self.setvar(\~mqjestersilence_layout_changed\~[;] 0); self.layout = self.layout.DECK;}~;}
Tape,[silence]Silence enemy,new elements.Skill(~mqsilence~).execute(self[;] target); sfx(~_silence~);
mqcursedbite,Internal script for Cursed Bite status effect,var robotSkillcard = null; if (target.getvar(~mqcursedbite_old_equipment~).length == null) {var oldEquipment = []; if (target.equipment.length > 0) for (eq in target.equipment) {oldEquipment.push(eq); if (eq.skillcard.indexOf(~robot_~) != -1) robotSkillcard = eq;} target.setvar(~mqcursedbite_old_equipment~[;] oldEquipment); target.setvar(~mqcursedbite_old_layout~[;] target.layout);} target.layout = target.layout.EQUIPMENT; target.equipment = []; if (robotSkillcard != null) target.equipment.push(robotSkillcard); if (self.equipment.length > 0) for (eq in self.equipment) if (eq.skillcard == ~~ && target.spaceleft() >= eq.size && !eq.temporary_thisturnonly) giveenemyequipment(eq.name + eq.namemodifier[;] false[;] false); if (target.scriptendturn.indexOf(~/*mqcursedbite_script_injected*/~) == -1) {var scriptRevertEquipment = ~/*mqcursedbite_script_injected*/ if (self.getvar(\~mqcursedbite_old_equipment\~).length != null) {self.equipment = self.getvar(\~mqcursedbite_old_equipment\~); self.setvar(\~mqcursedbite_old_equipment\~[;] 0); self.layout = self.getvar(\~mqcursedbite_old_layout\~); self.setvar(\~mqcursedbite_old_layout\~[;] 0);} removestatusself(\~mqcursedbite\~);~; target.scriptendturn += ~ ~ + scriptRevertEquipment; target.scriptaftercombat += ~ ~ + scriptRevertEquipment;}
mqinsanity,Internal script for Insanity status effect,if (target.scriptonstartturn.indexOf(~/*mqinsanity_script_injected*/~) == -1) {target.scriptonstartturn += ~ /*mqinsanity_script_injected*/ if (getstatusself(\~mqinsanity\~) > 0) {var myEquipment = []; if (self.equipment.length > 0) for (eq in self.equipment) if (eq.availablethisturn && eq.ready && eq.skillcard == \~\~) myEquipment.push(eq); shuffle(myEquipment); var insanityEquipment = self.getvar(\~mqinsanity_equipment\~); if (insanityEquipment.length == null) insanityEquipment = []; for (insanityCount in 0...getstatusself(\~mqinsanity\~)) if (myEquipment.length > 0) {var eq = myEquipment.pop(); var eqData = {eq: eq[;] displayname: eq.displayname[;] fulldescription: eq.fulldescription[;] script: eq.script[;] castdirection: eq.castdirection[;] scriptbeforeexecute: eq.scriptbeforeexecute}; insanityEquipment.push(eqData); var vowelsString = \~aeiou\~; var consonantsString = \~bcdfghjklmnpqrstvwxyz\~; var vowels = []; var consonants = []; for (l in 0...vowelsString.length) vowels.push(vowelsString.substr(l[;] 1)); for (l in 0...consonantsString.length) consonants.push(consonantsString.substr(l[;] 1)); eq.displayname = \~\~; for (l in 0...eqData.displayname.length) {var addLetter = rand([rand(vowels)[;] rand(consonants)]); if (l == 0 # eqData.displayname.substr(l - 1[;] 1) == \~ \~) addLetter = rand([rand(vowels)[;] rand(consonants)]).toUpperCase(); if (l > 0 && vowels.indexOf(eqData.displayname.substr(l - 1[;] 1)) != -1) addLetter = rand(chance(90) ? consonants : vowels); if (l > 0 && consonants.indexOf(eqData.displayname.substr(l - 1[;] 1)) != -1) addLetter = rand(chance(30) ? consonants : vowels); if (eqData.displayname.substr(l[;] 1) == \~ \~) addLetter = \~ \~; eq.displayname += addLetter;} eq.fulldescription = \~\~; var baseDescription = eqData.fulldescription; while (baseDescription.indexOf(\~[\~) != -1 && baseDescription.indexOf(\~]\~) != -1) {var tagStart = baseDescription.indexOf(\~[\~); var tagEnd = baseDescription.indexOf(\~]\~); baseDescription = baseDescription.substr(0[;] tagStart) + \~*\~ + baseDescription.substr(tagEnd + 1);} while (baseDescription.indexOf(\~<\~) != -1 && baseDescription.indexOf(\~>\~) != -1) {var tagStart = baseDescription.indexOf(\~<\~); var tagEnd = baseDescription.indexOf(\~>\~); baseDescription = baseDescription.substr(0[;] tagStart) + \~*\~ + baseDescription.substr(tagEnd + 1);} for (l in 0...baseDescription.length) {var addLetter = rand([rand(vowels)[;] rand(consonants)]); if (l == 0 # (baseDescription.substr(l - 1[;] 1) == \~ \~ && chance(20))) addLetter = rand([rand(vowels)[;] rand(consonants)]).toUpperCase(); if (l > 0 && vowels.indexOf(baseDescription.substr(l - 1[;] 1)) != -1) addLetter = rand(chance(90) ? consonants : vowels); if (l > 0 && consonants.indexOf(baseDescription.substr(l - 1[;] 1)) != -1) addLetter = rand(chance(30) ? consonants : vowels); if (baseDescription.substr(l[;] 1) == \~ \~) addLetter = \~ \~; if (baseDescription.substr(l[;] 1) == \~*\~) addLetter = \~*\~; if (baseDescription.substr(l[;] 1) == \~#\~.substr(0[;] 1)) addLetter = \~#\~.substr(0[;] 1); eq.fulldescription += addLetter;} while (eq.fulldescription.indexOf(\~*\~) != -1) eq.fulldescription = new EReg(\~\\\\*\~[;] \~\~).replace(eq.fulldescription[;] rand([\~[\~ + rand([\~sword\~[;] \~fire\~[;] \~ice\~[;] \~shock\~[;] \~poison\~[;] \~weaken\~[;] \~lock\~[;] \~dodge\~[;] \~curse\~[;] \~vanish\~[;] \~reduce\~[;] \~shield\~[;] \~fury\~[;] \~star\~[;] \~blind\~[;] \~red\~[;] \~blue\~[;] \~yellow\~[;] \~gray\~]) + \~]\~[;] \~<\~ + rand([\~d6\~[;] \~double\~[;] \~triple\~[;] \~quadruple\~[;] \~quintuple\~[;] \~sextuple\~]) + \~>\~])); eq.scriptrunner = null; var copyEq = new elements.Equipment(rand(getequipmentlist())); self.setvar(\~mqinsanity_script_\~ + eq.displayname[;] copyEq.script); var switchTargets = chance(50); eq.script = \~if (!simulation) {var skill = new elements.Skill(\\\~Unlimited\\\~); skill.script = \\\~var d = \\\~ + d + \\\~; var e = null; if (self.equipment.length > 0) for (eq in self.equipment) if (eq.displayname == \\\\\\\~\~ + eq.displayname + \~\\\\\\\~) e = eq; if (target.equipment.length > 0) for (eq in target.equipment) if (eq.displayname == \\\\\\\~\~ + eq.displayname + \~\\\\\\\~) e = eq; var actualdice = []; if (e != null) actualdice = e.assigneddice; \\\~ + self.getvar(\\\~mqinsanity_script_\~ + eq.displayname + \~\\\~); skill.execute(\~ + (switchTargets ? \~target[;] self\~ : \~self[;] target\~) + \~);} else bonus(rand([100[;] d * 100]));\~; eq.scriptbeforeexecute = \~delay(1.0);\~; eq.castdirection = copyEq.castdirection * (switchTargets ? -1 : 1); var eqCurseAnimation = new elements.Equipment(eq.name); eqCurseAnimation.x = eq.x; eqCurseAnimation.y = eq.y; eqCurseAnimation.size = eq.size; eqCurseAnimation.width = eq.width; eqCurseAnimation.height = eq.height; eqCurseAnimation.temporary_thisturnonly = true; eqCurseAnimation.ready = false; self.equipment.push(eqCurseAnimation); eqCurseAnimation.animate(\~curse\~); var anim = eqCurseAnimation.animation[eqCurseAnimation.animation.length - 1]; anim.parameter[2] = \~[jinx] Insanity!\~;} self.setvar(\~mqinsanity_equipment\~[;] insanityEquipment); sfx(\~_thinghappens\~);}~; var scriptRevertEquipment = ~var insanityEquipment = self.getvar(\~mqinsanity_equipment\~); if (insanityEquipment.length != null) {if (insanityEquipment.length > 0) for (eqData in insanityEquipment) {var eq = eqData.eq; eq.displayname = eqData.displayname; eq.fulldescription = eqData.fulldescription; eq.scriptrunner = null; eq.script = eqData.script; eq.scriptbeforeexecute = eqData.scriptbeforeexecute; eq.castdirection = eqData.castdirection;} self.setvar(\~mqinsanity_equipment\~[;] 0);}~; target.scriptendturn += ~ ~ + scriptRevertEquipment; target.scriptaftercombat += ~ ~ + scriptRevertEquipment;}
mqencase,Internal script for Encase status effect,if (target.scriptonstartturn.indexOf(~/*mqencase_script_injected*/~) == -1) {target.scriptonstartturn += ~ /*mqencase_script_injected*/ if (getstatusself(\~mqencase\~) > 0 # getstatusself(\~mqencase_all\~) > 0) {var encaseEq = []; if (self.equipment.length > 0) for (eq in self.equipment) if (eq.skillcard == \~\~ && eq.availablenextturn) encaseEq.push(eq); shuffle(encaseEq); encaseEq.sort(function (eq1[;] eq2) return eq1.script.indexOf(\~/*mqencaseattract*/\~) != -1 ? -1 : 1); var popCount = encaseEq.length - getstatusself(\~mqencase\~); if (getstatusself(\~mqencase_all\~) > 0) popCount = 0; if (popCount > 0) for (i in 0...popCount) encaseEq.pop(); if (encaseEq.length > 0) for (eq in encaseEq) {var name = eq.name + eq.namemodifier; var displayname = eq.displayname; var x = eq.x; var y = eq.y; eq.create(\~Rule Crystal@\~ + (eq.size == 1 ? \~small\~ : \~big\~)); eq.resetslots(); eq.skillcard = \~crystalina_locked_\~ + name; eq.displayname = displayname; eq.x = x; eq.y = y; eq.animate(\~\~); eq.animation[eq.animation.length - 1].addcommand(\~textparticle\~[;] \~[mana] Encase!\~[;] 16777215); eq.animate(\~flashandshake\~);} sfx(\~_mana\~);}~; target.scriptaftercombat = ~if (self.equipment.length > 0) for (eq in self.equipment) if (eq.name.indexOf(\~Rule Crystal\~) != -1) eq.create(eq.skillcard.split(\~crystalina_locked_\~)[1][;] eq.upgraded # eq.originallyupgraded);~;}
Quartz Cage,Encase [mana]all (once),Gadget.changegadget(self[;] ~Crystal Trap~[;] ~Broken Gadget~); inflict(~mqencase_all~); new elements.Skill(~mqencase~).execute(self[;] target); sfx(~_mana~);
Crystal Trap,Encase [mana]all,inflict(~mqencase_all~); new elements.Skill(~mqencase~).execute(self[;] target); sfx(~_mana~);
mqsubzero,Internal script for Subzero status effect,if (target.scriptbeforestartturn.indexOf(~/*mqsubzero_script_injected*/~) == -1) {target.scriptbeforestartturn += ~ /*mqsubzero_script_injected*/ if (getstatusself(\~mqsubzero\~) > 0) {inflictself(\~mqtimeruntilendturn\~); var actSubzero = new motion.actuators.SimpleActuator(null[;] 0[;] null); actSubzero.repeat(-1); var funcSubzero = new hscript.Parser().parseString(\~if (getstatusself(\\\~mqtimeruntilendturn\\\~) <= 0) actSubzero._repeat = 0; var alldice = []; if (self.dicepool.length > 0) for (mydice in self.dicepool) if (mydice.available()) alldice.push(mydice); if (alldice.length > 0) for (mydice in alldice) {if (mydice.animation.length > 0) for (anim in mydice.animation) {if (anim.command[5] == \\\~reducestat\\\~ && anim.command[6] == \\\~unlock\\\~) {for (i in 0...anim.command.length) anim.command[i] = \\\~\\\~; mydice.animate(\\\~\\\~[;] 0); var newanim = mydice.animation[mydice.animation.length - 1]; newanim.currenttime = anim.currenttime; newanim.applytodice(mydice); newanim.addcommand(\\\~soundevent\\\~[;] \\\~_dicefreeze\\\~); newanim.addcommand(\\\~overlaytileonce\\\~[;] \\\~ice\\\~[;] -150[;] -126[;] 0.01[;] 1); newanim.addcommand(\\\~applyvariable\\\~[;] \\\~lock\\\~); newanim.addcommand(\\\~reducestat\\\~[;] \\\~ice\\\~);}}}\~); var interp = new hscript.Interp(); interp.variables.set(\~self\~[;] self); interp.variables.set(\~getstatusself\~[;] getstatusself); interp.variables.set(\~actSubzero\~[;] actSubzero); actSubzero.onRepeat(interp.execute[;] [funcSubzero]); actSubzero.move();}~;}
Syringe Gun,Inflict [poison]1 poison,inflict(POISON); sfx(~_poison~);
Spray Paint,Blind [blind]5 dice,inflict(BLIND[;] 5); sfx(~_blind~);
Royal Staff,Do [sword]3[;] weaken [weaken]2,attack(3); sfxdamage(target[;] 3); inflict(WEAKEN[;] 2); sfx(~_weaken~);
Symmetry,Roll an even dice,givedice(rand([2[;] 4[;] 6]));
Petals,Roll an odd dice,givedice(rand([1[;] 3[;] 5]));
Purification,[curse]Uncurse self,removestatusself(CURSE[;] ALL); sfx(~_survive~);
mqfatigue,Internal script for Fatigue status effect,if (target.scriptbeforestartturn.indexOf(~/*mqfatigue_script_injected*/~) == -1) {target.scriptbeforestartturn += ~ /*mqfatigue_script_injected*/ if (getstatusself(\~mqfatigue\~) > 0) {var weakenData = []; if (self.equipment.length > 0) for (eq in self.equipment) {weakenData.push({eq: eq[;] weakentype: eq.weakentype}); eq.weakentype = \~noeffect\~;} self.setvar(\~mqfatigue\~[;] weakenData);}~; var scriptRevertEquipment = ~if (self.getvar(\~mqfatigue\~).length != null) {for (weakenData in self.getvar(\~mqfatigue\~)) weakenData.eq.weakentype = weakenData.weakentype; self.setvar(\~mqfatigue\~[;] 0);}~; target.scriptendturn += ~ ~ + scriptRevertEquipment; target.scriptaftercombat += ~ ~ + scriptRevertEquipment;}
Focus,All dice become 6,if (self.dicepool.length > 0) for (mydice in self.dicepool) if (mydice.available()) {mydice.animate(~~); var anim = mydice.animation[mydice.animation.length - 1]; anim.addcommand(~flash~[;] null[;] 0.1); anim.addcommand(~shake~[;] null[;] 0[;] -4); mydice.basevalue = 6;} sfx(~useitem~);
Reroll,Reroll unused dice,if (self.dicepool.length > 0) for (mydice in self.dicepool) if (mydice.available()) {mydice.animate(~~); var anim = mydice.animation[mydice.animation.length - 1]; anim.addcommand(~flash~[;] null[;] 0.1); anim.addcommand(~shake~[;] null[;] 0[;] -4); mydice.basevalue = rand([1[;] 2[;] 3[;] 4[;] 5[;] 6]);} sfx(~useitem~);
Meganudge,[]-1 to all dice,if (self.dicepool.length > 0) for (mydice in self.dicepool) if (mydice.available()) {mydice.animate(~~); var anim = mydice.animation[mydice.animation.length - 1]; anim.addcommand(~flash~[;] null[;] 0.1); anim.addcommand(~shake~[;] null[;] 0[;] -4); if (mydice.basevalue > 1) mydice.basevalue--;} sfx(~useitem~);
Megabump,[]+1 to all dice,if (self.dicepool.length > 0) for (mydice in self.dicepool) if (mydice.available()) {mydice.animate(~~); var anim = mydice.animation[mydice.animation.length - 1]; anim.addcommand(~flash~[;] null[;] 0.1); anim.addcommand(~shake~[;] null[;] 0[;] -4); if (mydice.basevalue < 6) mydice.basevalue++; else givedice(1);} sfx(~useitem~);
Battle Wrench,Combine all dice,var dicesum = 0; var removeDice = []; if (self.dicepool.length > 0) for (mydice in self.dicepool) if (mydice.available()) {dicesum += mydice.basevalue; removeDice.push(mydice);} if (removeDice.length > 0) for (mydice in removeDice) self.dicepool.remove(mydice); if (dicesum > 0) givedice(dicesum); sfx(~useitem~);
